permno,date,ret,prc,sprtrn,lag_LNMV,sic3,treated
10001,17174,0.016477,112.98,0.004606,9.1499,581,1
10001,17175,-0.013083,111.5,-0.003841,9.1499,581,1
10001,17176,0.000479,111.55,0.002905,9.1499,581,1
10001,17177,-0.020157,109.3,-0.007031,9.1499,581,1
10001,17178,0.015365,110.98,0.002367,9.1499,581,1
10001,17182,-0.02009,108.75,-0.011478,9.1499,581,1
10001,17183,-0.028432,105.66,-0.006339,9.1499,581,1
10001,17184,0.005081,106.2,0.002826,9.1499,581,1
10001,17185,-0.015905,104.51,0.002867,9.1499,581,1
10001,17188,0.030379,107.69,0.000328,9.1499,581,1
10001,17189,0.017243,109.54,0.010529,9.1499,581,1
10001,17190,-0.02493,106.81,-0.014191,9.1499,581,1
10001,17191,0.013228,108.22,0.019595,9.1499,581,1
10001,17192,0.016066,109.96,0.006865,9.1499,581,1
10001,17195,0.007043,110.74,0.005579,9.1499,581,1
10001,17196,-0.05425,104.73,-0.003221,9.1499,581,1
10001,17197,0.021298,106.96,0.017907,9.1499,581,1
10001,17198,-0.029266,103.83,0.000155,9.1499,581,1
10001,17199,0.040685,108.05,0.005746,9.1499,581,1
10001,17202,0.004489,108.54,0.010052,9.1499,581,1
10001,17203,0.02067,110.78,0.011573,9.1499,581,1
10001,17204,-0.017262,108.87,-0.022998,9.1499,581,1
10001,17205,-0.009487,107.84,0.012195,9.1499,581,1
10001,17206,-0.055335,101.87,-0.028405,9.1499,581,1
10001,17209,0.001725,102.05,-0.00617,9.1499,581,1
10001,17210,-0.013334,100.69,-0.003111,9.1499,581,1
10001,17211,0.01633,102.33,0.02248,9.1499,581,1
10001,17212,-0.011905,101.11,-0.007079,9.1499,581,1
10001,17213,0.000194,101.13,0.007592,9.1499,581,1
10001,17217,0.030691,104.23,-0.002094,9.1499,581,1
10001,17218,-0.032837,100.81,-0.020813,9.1499,581,1
10001,17219,-0.019491,98.85,0.002525,9.1499,581,1
10001,17220,-0.008365,98.02,-0.003606,9.1499,581,1
10001,17223,-0.031335,94.95,-0.010817,9.1499,581,1
10001,17224,0.009958,95.89,0.025266,9.1499,581,1
10001,17225,-0.001158,95.78,-0.005984,9.1499,581,1
10001,17226,-0.000791,95.71,-0.004917,9.1499,581,1
10001,17227,0.012247,96.88,0.000389,9.1499,581,1
10001,17230,0.014505,98.28,0.003823,9.1499,581,1
10001,17231,-0.023633,95.96,-0.002792,9.1499,581,1
10001,17232,-0.013464,94.67,0.008856,9.1499,581,1
10001,17233,-0.020409,92.74,0.008322,9.1499,581,1
10001,17234,-0.013528,91.48,-0.002094,9.1499,581,1
10001,17237,0.01139,92.53,0.021275,9.1499,581,1
10001,17238,0.012631,93.69,-0.001006,9.1499,581,1
10001,17239,0.033457,96.83,0.00563,9.1499,581,1
10001,17240,0.027625,99.5,-0.005583,9.1499,581,1
10001,17241,0.024301,101.92,0.015019,9.1499,581,1
10001,17244,-6.8e-05,101.91,-0.002381,9.1499,581,1
10001,17245,-0.005906,101.31,0.009091,9.1499,581,1
10001,17246,-0.000245,101.29,-0.007145,9.1499,581,1
10001,17247,-0.024404,98.82,-0.00527,9.1499,581,1
10001,17248,0.017273,100.52,0.01334,9.1499,581,1
10001,17251,-0.035538,96.95,-0.00519,9.1499,581,1
10001,17252,0.017608,98.66,0.008175,9.1499,581,1
10001,17253,0.004068,99.06,-0.00166,9.1499,581,1
10001,17254,-0.002667,98.79,0.002596,9.1499,581,1
10001,17255,-0.022135,96.61,-0.012011,9.1499,581,1
10001,17258,0.013968,97.96,0.016176,9.1499,581,1
10001,17259,0.013444,99.27,0.005954,9.1499,581,1
10001,17260,0.02361,101.62,-0.002053,9.1499,581,1
10001,17261,0.044001,106.09,0.01194,9.1499,581,1
10001,17265,-0.001571,105.92,0.005632,9.1499,581,1
10001,17266,-0.004828,105.41,-0.004325,9.1499,581,1
10001,17267,-0.005459,104.84,-0.001099,9.1499,581,1
10001,17268,0.01669,106.59,0.00567,9.1499,581,1
10001,17269,0.003171,106.92,-0.008537,9.1499,581,1
10001,17272,0.01131,108.13,-0.014834,9.1499,581,1
10001,17273,0.008506,109.05,-0.011812,9.1499,581,1
10001,17274,0.017859,111.0,-0.004141,9.1499,581,1
10001,17275,-0.006482,110.28,0.007455,9.1499,581,1
10001,17276,0.027056,113.26,-0.005047,9.1499,581,1
10001,17279,-0.005125,112.68,0.006686,9.1499,581,1
10001,17280,0.015487,114.43,-0.003729,9.1499,581,1
10001,17281,-0.023423,111.75,-0.017348,9.1499,581,1
10001,17282,-0.02089,109.41,-0.001308,9.1499,581,1
10001,17283,0.013496,110.89,-0.0004,9.1499,581,1
10001,17286,-0.002989,110.56,0.020769,9.1499,581,1
10001,17287,0.024102,113.22,0.014214,9.1499,581,1
10001,17288,0.004596,113.74,0.005829,9.1499,581,1
10001,17289,-0.014488,112.1,0.002727,9.1499,581,1
10001,17290,-0.029543,108.79,-0.009177,9.1499,581,1
10001,17293,0.038079,112.93,0.014553,9.1499,581,1
10001,17294,-0.02974,109.57,-0.005139,9.1499,581,1
10001,17295,0.014413,111.15,0.008319,9.1499,581,1
10001,17296,-0.024303,108.45,-0.001937,9.1499,581,1
10001,17297,0.022512,110.89,0.00478,9.1499,581,1
10001,17300,0.000177,110.91,-0.014746,9.1499,581,1
10001,17301,0.011879,112.23,0.003312,9.1499,581,1
10001,17302,0.011954,113.57,0.00036,9.1499,581,1
10001,17303,-0.00414,113.1,0.010979,9.1499,581,1
10001,17304,0.003486,113.49,-0.013389,9.1499,581,1
10001,17307,0.009715,114.59,0.005953,9.1499,581,1
10001,17308,0.001357,114.75,-0.014547,9.1499,581,1
10001,17309,0.00197,114.98,0.005497,9.1499,581,1
10001,17310,0.001095,115.1,0.002991,9.1499,581,1
10001,17311,0.014792,116.8,0.017043,9.1499,581,1
10001,17315,0.010907,118.08,0.000616,9.1499,581,1
10001,17316,0.014099,119.74,0.01003,9.1499,581,1
10001,17317,0.001802,119.96,-0.005112,9.1499,581,1
10001,17318,0.027785,123.29,0.008205,9.1499,581,1
10001,17321,-0.005823,122.57,-0.008489,9.1499,581,1
10001,17322,-0.014897,120.75,0.003973,9.1499,581,1
10001,17323,0.02886,124.23,0.003022,9.1499,581,1
10001,17324,-0.02388,121.27,0.003299,9.1499,581,1
10001,17325,0.034288,125.42,-0.000848,9.1499,581,1
10001,17328,0.038294,130.23,0.009439,9.1499,581,1
10001,17329,-0.007102,129.3,-0.000744,9.1499,581,1
10001,17330,-0.007011,128.4,-0.006473,9.1499,581,1
10001,17331,0.006607,129.24,0.008314,9.1499,581,1
10001,17332,0.017264,131.47,-0.001337,9.1499,581,1
10001,17335,0.024233,134.66,0.014663,9.1499,581,1
10001,17336,-0.003159,134.24,-0.008222,9.1499,581,1
10001,17337,0.01474,136.21,0.016254,9.1499,581,1
10001,17338,0.008997,137.44,0.005426,9.1499,581,1
10001,17339,-0.009373,136.15,-0.002722,9.1499,581,1
10001,17342,0.024936,139.55,0.020508,9.1499,581,1
10001,17343,0.002919,139.95,-0.00181,9.1499,581,1
10001,17344,0.058065,148.08,0.023298,9.1499,581,1
10001,17345,0.029991,152.52,0.017859,9.1499,581,1
10001,17346,0.012064,154.36,0.007054,9.1499,581,1
10001,17349,-0.038157,148.47,0.01302,9.1499,581,1
10001,17350,0.011346,150.16,-0.001749,9.1499,581,1
10001,17352,0.033623,155.2,-0.003544,9.1499,581,1
10001,17353,0.028548,159.64,0.005164,9.1499,581,1
10001,17356,0.009299,161.12,-0.000498,9.1499,581,1
10001,17357,-0.000795,160.99,0.011545,9.1499,581,1
10001,17358,0.021558,164.46,-0.001304,9.1499,581,1
10001,17359,-0.009514,162.9,-0.009472,9.1499,581,1
10001,17360,0.051448,171.28,0.032289,9.1499,581,1
10001,17363,-0.00239,170.87,-0.004011,9.1499,581,1
10001,17364,-0.024148,166.74,-0.004293,9.1499,581,1
10001,17365,-0.021169,163.21,-0.021125,9.1499,581,1
10001,17366,-0.015113,160.75,0.005614,9.1499,581,1
10001,17367,-0.002689,160.31,0.005743,9.1499,581,1
10001,17370,0.040475,166.8,0.009274,9.1499,581,1
10001,17371,0.004228,167.51,0.007502,9.1499,581,1
10001,17372,-0.033854,161.84,0.002995,9.1499,581,1
10001,17373,0.010024,163.46,0.000776,9.1499,581,1
10001,17374,-0.010827,161.69,0.003501,9.1499,581,1
10001,17377,-0.015026,159.26,-0.002409,9.1499,581,1
10001,17378,-0.019358,156.18,-0.002698,9.1499,581,1
10001,17379,0.036415,161.86,0.009928,9.1499,581,1
10001,17380,-0.017176,159.08,-0.005142,9.1499,581,1
10001,17381,0.013687,161.26,0.001499,9.1499,581,1
10001,17384,-0.014462,158.93,-0.000742,9.1499,581,1
10001,17385,-0.000811,158.8,0.000567,9.1499,581,1
10001,17386,0.021668,162.24,0.020224,9.1499,581,1
10001,17387,-0.000945,162.09,0.005241,9.1499,581,1
10001,17388,0.022129,165.68,0.003124,9.1499,581,1
10001,17391,0.004697,166.45,-0.007909,9.1499,581,1
10001,17392,-0.02618,162.1,0.002371,9.1499,581,1
10001,17393,-0.004405,161.38,0.016635,9.1499,581,1
10001,17394,-0.047358,153.74,-0.016351,9.1499,581,1
