permno,date,ret,prc,sprtrn,lag_LNMV,sic3,treated
10001,08jan2007,-.027493,2.23,-.036883,7.9389,382,0
10001,09jan2007,-.000742,2.23,-.004965,7.9389,382,0
10001,10jan2007,.005567,2.24,-.001579,7.9389,382,0
10001,11jan2007,-.005866,2.23,.0003,7.9389,382,0
10001,12jan2007,-.025968,2.17,-.01376,7.9389,382,0
10001,16jan2007,-.029807,2.1,-.008826,7.9389,382,0
10001,17jan2007,-.010481,2.08,-.00551,7.9389,382,0
10001,18jan2007,.012484,2.11,.007059,7.9389,382,0
10001,19jan2007,-.002997,2.1,-.012258,7.9389,382,0
10001,22jan2007,-.00521,2.09,-.00715,7.9389,382,0
10001,23jan2007,-.022418,2.04,-.004452,7.9389,382,0
10001,24jan2007,.025327,2.1,.010145,7.9389,382,0
10001,25jan2007,-.004822,2.09,-.001843,7.9389,382,0
10001,26jan2007,-.013267,2.06,-.004502,7.9389,382,0
10001,29jan2007,.000127,2.06,.00532,7.9389,382,0
10001,30jan2007,.014524,2.09,.007008,7.9389,382,0
10001,31jan2007,-.001591,2.09,-.007202,7.9389,382,0
10001,01feb2007,-.007818,2.07,-.009343,7.9389,382,0
10001,02feb2007,.008831,2.09,.00355,7.9389,382,0
10001,05feb2007,.018152,2.13,-.003364,7.9389,382,0
10001,06feb2007,-.00513,2.11,-.007294,7.9389,382,0
10001,07feb2007,-.009282,2.09,-.018847,7.9389,382,0
10001,08feb2007,-.018239,2.06,-.012361,7.9389,382,0
10001,09feb2007,-.002785,2.05,.004961,7.9389,382,0
10001,12feb2007,-.022935,2,.005113,7.9389,382,0
10001,13feb2007,.031076,2.07,.029889,7.9389,382,0
10001,14feb2007,-.0058,2.05,-.012191,7.9389,382,0
10001,15feb2007,.006949,2.07,.000231,7.9389,382,0
10001,16feb2007,.005277,2.08,.010415,7.9389,382,0
10001,20feb2007,-.019519,2.04,-.008891,7.9389,382,0
10001,21feb2007,-.004635,2.03,.002211,7.9389,382,0
10001,22feb2007,-.026078,1.98,-.012123,7.9389,382,0
10001,23feb2007,.011399,2,-.003658,7.9389,382,0
10001,26feb2007,.009014,2.02,.006493,7.9389,382,0
10001,27feb2007,.00451,2.03,.010499,7.9389,382,0
10001,28feb2007,-.003095,2.02,-.000092,7.9389,382,0
10001,01mar2007,.008044,2.04,.009196,7.9389,382,0
10001,02mar2007,-.002976,2.03,-.007381,7.9389,382,0
10001,05mar2007,-.009964,2.01,-.010883,7.9389,382,0
10001,06mar2007,.025349,2.06,.003058,7.9389,382,0
10001,07mar2007,-.004745,2.05,-.013051,7.9389,382,0
10001,08mar2007,-.012594,2.03,-.01191,7.9389,382,0
10001,09mar2007,.005113,2.04,.010436,7.9389,382,0
10001,12mar2007,-.006336,2.02,-.000757,7.9389,382,0
10001,13mar2007,.010172,2.04,.001897,7.9389,382,0
10001,14mar2007,.009602,2.06,.009972,7.9389,382,0
10001,15mar2007,.014036,2.09,.013273,7.9389,382,0
10001,16mar2007,-.006935,2.08,-.007853,7.9389,382,0
